ID вопроса,Вопрос,Референсный ответ,Релевантные документы,Контекст (превью)
77,"Что стоит внимательно проверить в договоре, если вы оформляете НПО в НПФ и если берете заем?","В контексте нет информации о том, что нужно проверять в договоре при оформлении НПО в НПФ и при взятии заема.","doc_185,doc_186","Фрагмент (score: 0.89):
язательно изучите формулу расчета выкупной суммы — вы найдете ее в своем договоре с прежним НПФ и в пенсионных правилах на его сайте. После реорганизации они не поменяются. А срок пребывания в фонде по-прежнему будет отсчитываться с момента, когда вы заключили договор со старым НПФ. Поэтому стоит взвесить: покидать фонд в процессе реорганизации или подождать, пока выкупная сумма подрастет.

**3. Вам придется заплатить налоги.** Когда выкупная сумма оказывается больше то"
78,Как начисляются проценты и штрафы во время кредитных каникул по санкциям и по мобилизации?,"На основе контекста:

**По санкциям (для всех заемщиков):**
*   **Проценты** — **ДА, начисляются** по ставке, предусмотренной кредитным договором.
*   **Штрафы и пени** — **НЕТ, не увеличиваются**. Их размер замораживается на период каникул, но их необходимо будет выплатить после окончания льготного периода.

**По мобилизации (для мобилизованных и других участников СВО):**
*   **Проценты** — **НЕТ, не начисляются** по любым кредитам и займам (с 6 апреля 2024 года). Переплата не растет.
*   **Штрафы и пени** — **НЕТ, не начисляются**. Более того, все неустойки, возникшие с 24 февраля по 7 октября 2022 года, подлежат списанию.","doc_256,doc_033","Фрагмент (score: 0.90):
 до окончания каникул.

Банк, МФО или КПК в течение 10 дней обязаны рассмотреть заявление и подтвердить каникулы либо отказать в них. Оповестить о своем решении они должны тем способом связи, который прописан в кредитном договоре. Если заемщик не получит сообщение в течение 15 дней, льготный период считается одобренным.

## Будет ли кредитор начислять проценты в течение каникул?

Да, весь льготный период банк, МФО или КПК продолжат начислять проценты по ставке, пред"
79,"Почему внебиржевые сделки рискованнее, чем торговля на бирже?","Согласно контексту, внебиржевые сделки рискованнее по двум основным причинам:

1. **Цена далека от рыночной**: Стоимость бумаг при внебиржевой торговле нередко оказывается далека от рыночной.
2. **Отсутствие проверки и высокий риск мошенничества**: Биржа не проверяет компании, выпускающие такие бумаги, поэтому оценить риски сложно даже опытным инвесторам. Кроме того, велик риск наткнуться на мошенников, особенно если обходиться без помощи лицензированных посредников.","doc_234,doc_008","Фрагмент (score: 0.88):
небиржевая торговля связана с повышенными рисками: стоимость бумаг нередко оказывается далека от рыночной. Кроме того, биржа не проверяет компании, которые их выпускают, поэтому оценить вероятность прибыли или убытков сложно даже опытным инвесторам.

Еще опаснее обходиться без помощи лицензированных посредников — велики риски наткнуться на откровенных мошенников и потерять деньги.

«Брату как-то позвонили с незнакомого номера и предложили заняться биржевой торговлей. "
80,Как проверить полис ОСАГО через НСИС?,"Согласно контексту, чтобы проверить полис ОСАГО через НСИС, нужно:
1. Зайти на сайт Национальной страховой информационной системы (НСИС).
2. На главной странице ввести серию и номер полиса и запустить проверку.
3. В открывшемся окне вы увидите название компании-страховщика, данные машины и статус договора.

Для проверки полиса, купленного заранее и еще не начавшего действовать, информацию нужно искать в личном кабинете на сайте НСИС. Чтобы войти в него, необходимо авторизоваться через Госуслуги или онлайн-банк, нажав кнопку «Войти» в правом верхнем углу сайта.","doc_073,doc_097","Фрагмент (score: 0.93):
Сергей чуть не пропустил покупку очередной страховки ОСАГО и в спешкеоформил ее на первом попавшемся сайте. Но затем засомневался — точно ли полис настоящий и не нарвался ли он на мошенников. Рассказываем, что делать, если вы сомневаетесь в подлинности страховки. ## Как проверить полис ОСАГО?

Это легко сделать без помощи посредников и совершенно бесплатно — на сайте Национальной страховой информационной системы (НСИС).

На главной странице введите серию и номер полис"
81,Есть ли госгарантия возврата средств при крахе брокера либо при исключении МФО из реестра?,"В контексте нет информации о государственных гарантиях возврата средств при исключении МФО из реестра.

Что касается брокера, в контексте прямо указано: **«в случае аннулирования лицензии брокера государство не гарантирует возврата ваших средств и не выплачивает компенсации»**.","doc_179,doc_254,doc_083","Фрагмент (score: 0.88):
роченных долгов слишком много, у МФО возникают проблемы с выплатами инвесторам — денег на них не хватает.

## Как быть, если МФО действительно исключили из реестра?

Нужно попытаться вернуть свои инвестиции.

1. **Заявление с требованием вернуть деньги** немедленно отправьтена официальный почтовый или электронный адрес организации.
2. **Копию заявления** отошлите**в Банк России**.  
   Банк России проанализирует все заявления инвесторов, оценит финансовое состояни"
82,"Что происходит дальше, если должник отказывается от общения с коллекторами?","Согласно контексту, если должник отказывается от общения с коллекторами, происходит следующее:

1. Кредитор передает дело в суд.
2. Если суд обяжет вернуть долг, исполнением займутся судебные приставы, а не коллекторы.
3. Судебные приставы имеют право арестовать счета, описать и продать имущество должника для погашения долга, и договориться с ними уже невозможно.

Отказ от общения не отменяет обязанности вернуть долг и не останавливает судебное взыскание.","doc_344,doc_047","Фрагмент (score: 0.90):
оедать звонками и письмами никто не будет, но взыскать долг через суд ваши кредиторы все равно могут.

Если вы начали процедуру банкротства, ваше общение с кредиторами и коллекторами прекращается автоматически. Все долговые вопросы урегулирует финансовый управляющий, которого вам назначит арбитражный суд. О том, как официально объявить себя неплатежеспособным, читайте в статье про личное банкротство.

## Я не хочу общаться с коллектором. Что делать?

Вы можете напра"
83,Какие инструменты подойдут для консервативного накопления на срок от трех лет и с чего лучше начинать инвестору‑новичку?,"Согласно контексту, для консервативного накопления на срок от трех лет подойдут:
*   ОФЗ (облигации федерального займа)
*   Облигации крупнейших/надежных компаний с высокими рейтингами
*   Банковские вклады (с учетом лимита страхования в 1,4 млн рублей)

Начинать инвестирование новичку лучше с наиболее безопасных инструментов, таких как облигации Минфина (ОФЗ) или крупных стабильных компаний, так как опасность дефолта по ним минимальна.","doc_307,doc_258","Фрагмент (score: 0.90):
и накопления не только не страдали от инфляции, но и обгоняли ее.

### Какие финансовые инструменты подойдут для долгосрочных накоплений?

**Банковский вклад****.** Наиболее безопасный и надежный способ сберегать и накапливать. С соблазнами бороться будет проще, чем в случае, когда деньги спрятаны в буфете. Только следите за тем, чтобы сумма вклада вместе с процентами в одном банке не превышала 1,4 млн рублей. Такая сумма точно попадает в государственную систему страх"
84,"Что делать, если пришло сообщение о блокировке карты с просьбой перезвонить по незнакомому номеру?","Согласно контексту, если пришло сообщение о блокировке карты с просьбой перезвонить по незнакомому номеру, делать этого не нужно. Такие сообщения часто рассылают мошенники. Вместо этого следует позвонить только на официальный номер горячей линии своего банка (указан на обратной стороне карты и на сайте банка), чтобы уточнить информацию о блокировке.","doc_343,doc_246","Фрагмент (score: 0.89):
Пришло сообщение: «Ваша карта заблокирована». Почему это могло произойти и что теперь делать? Прежде всего не паниковать и не суетиться: чаще всего блокировка карты — это способ обезопасить ваши деньги. Банковская карта — это всего лишь инструмент, который дает доступ к вашему банковскому счету. Когда карту блокируют, по ней нельзя совершать переводы и платежи, а также снимать наличные. При этом деньги остаются на вашем счете.

Если вам пришло сообщение о блокировке бан"
85,Как меняется выплата по ОСАГО при европротоколе в зависимости от фотофиксации либо разногласий?,"На основе контекста выплата по ОСАГО при европротоколе меняется следующим образом:

1. **Полное согласие и фотофиксация**: Максимальная выплата составляет **400 000 рублей** (если все условия соблюдены: общее мнение об обстоятельствах, заполненное извещение и фотофиксация через приложение).

2. **Согласие, но без фотофиксации**: Выплата снижается до **100 000 рублей**.

3. **Наличие разногласий (например, по обстоятельствам или повреждениям), но с фотофиксацией**: Лимит возмещения снижается до **200 000 рублей**. При этом, если страховщики не могут определить виновника, эта сумма может быть разделена между обоими водителями.

4. **Без фотофиксации и при разногласиях**: В контексте указано, что без фотофиксации вообще **никакой выплаты не будет** (в рамках европротокола).","doc_228,doc_281,doc_011","Фрагмент (score: 0.90):
пострадавшему будет максимальным — до **400 000 рублей**.

Если же вы со вторым водителем заполните только извещение о ДТП (в приложении или на бумаге), но не сделаете фотофиксацию, то пострадавший получит страховое возмещение лишь в пределах **100 000 рублей**. А значит, вырастет вероятность, что виновнику придется доплачивать за его ремонт из своего кармана.

В случае когда фотофиксация есть, но у вас разногласия с другим участником аварии — например, по поводу повр"
86,Почему заявления о страховке в МФО не гарантируют возврат вложений?,"Согласно контексту, заявления о страховке в МФО не гарантируют возврат вложений по нескольким причинам:

1. **Страховка часто покрывает не те риски.** Полис может защищать МФК от банкротства банка-партнёра или от повреждения имущества, но **не от банкротства самой МФК**.
2. **Даже при страховании от банкротства сумма выплат невелика.** Например, страховая сумма может быть в 10 раз меньше общего объёма вложений инвесторов, поэтому каждый получит лишь малую часть своих денег.
3. **Страховой полис обычно перестаёт действовать к моменту официального объявления о банкротстве МФК.**
4. **Инвестиции в МФО не застрахованы государством.** Страховка часто касается имущества компании или ответственности руководителей, **а не денег инвесторов**.

Таким образом, обещания ""всё застраховано"" обычно вводят в заблуждение, так как не обеспечивают полной защиты вложений клиентов в случае краха микрофинансовой организации.","doc_184,doc_250,doc_179","Фрагмент (score: 0.89):
вам вряд ли удастся вернуть свои вложения полностью.

МФК нередко заявляют, что деньги инвесторов «застрахованы от финансовых рисков». Как правило, это лукавство. Нужно внимательно читать договор страхования: от каких именно рисков вас обещают уберечь. Страховой полис может защищать МФК от банкротства банка, через который проходят платежи (а это обычно очень надежные банки). Или от убытков, если офис МФК разрушат природные катаклизмы. Такая страховка не гарантирует, что"
87,"Чем отличаются госгарантии для вкладов, пенсионных накоплений в НПФ, полисов НСЖ по защите суммы?","В контексте нет информации о полисах НСЖ (накопительного страхования жизни). 

Что касается вкладов и пенсионных накоплений в НПФ, из контекста можно выделить следующие отличия в гарантиях:

1.  **Для банковских вкладов:** Государство гарантирует страховое возмещение **до 1,4 млн рублей** на одного вкладчика в одном банке. В некоторых случаях (например, счета эскроу) сумма может быть выше — до 10 млн рублей.

2.  **Для пенсионных накоплений в НПФ:** Государство гарантирует защиту взносов, и деньги не исчезнут даже при отзыве лицензии у фонда. Однако в контексте **не указан конкретный верхний предел гарантированной суммы** для пенсионных накоплений. Подчеркивается, что Агентство по страхованию вкладов (АСВ) выплатит компенсацию, а её размер и порядок выплат зависят от того, начал ли человек уже получать пенсию или ещё только копит.","doc_080,doc_286,doc_182","Фрагмент (score: 0.89):
негосударственных пенсионных фондов.

Чтобы узнать, сколько у вас пенсионных накоплений и где они находятся, нужно заказать выписку о состоянии индивидуального лицевого счета в отделении Социального фонда России (СФР), на его сайте либо на портале «Госуслуги». Если ваши деньги хранятся в НПФ, то можете запросить отчет о сумме накоплений в самом фонде.

Государство гарантирует защиту ваших пенсионных взносов — деньги не исчезнут, даже если у НПФ отзовут лицензию или он"
88,"В каких случаях выгоднее созаемщик, а не поручитель, для снижения ставки либо увеличения суммы?","Согласно контексту, созаемщик выгоднее поручителя, когда цель — снижение процентной ставки или увеличение суммы кредита.

**Причина:** Финансовое положение и кредитная история созаемщика напрямую влияют на условия кредита. Банк проверяет его так же тщательно, как и основного заемщика. Чем выше доход и надежнее кредитная история созаемщика, тем больше сумма, которую банк готов одолжить, и тем ниже может быть процентная ставка.

**Для поручителя** доходы и кредитная история почти никогда не влияют на параметры кредита (сумму, процент, срок). Банк обычно лишь оценивает, подходит ли поручитель как гарантия.",doc_028,"Фрагмент (score: 0.88):
Вы хотите взять кредит, но банк считает, что ваших доходов недостаточно, и предлагает привлечьсозаемщикаилипоручителя. Либо наоборот: вас просят стать созаемщиком или поручиться по чужому кредиту. Разбираемся, в чем различия и чем вы рискуете, соглашаясь на ту или иную роль. ## Чем различаются созаемщик и поручитель?

**Созаемщик — это тот же заемщик.** У него такие же права и обязанности, как если бы он сам брал кредит. Даже когда вас убеждают подписать договор лишь «д"
89,"Как работают структурные облигации, привязанные к цене золота?","Согласно контексту, структурные облигации, привязанные к цене золота, работают следующим образом:

1. **Привязка к цене металла:** Их номинал и купоны привязаны к цене драгоценного металла. Например, номинал бумаг может соответствовать 1 грамму золота.
2. **Механизм расчёта:**
    * Компания размещает облигации по цене грамма золота на день продажи.
    * Погашает — по цене на день выкупа.
    * Для расчетов используются учетные цены на драгметаллы, которые устанавливает Банк России.
3. **Доходность:** Купонный доход выражается в процентах от номинала, поэтому точная сумма в рублях определяется только в день выплаты. Инвестор имеет шанс заработать как на росте цены золота, так и за счет купонного дохода.
4. **Риски:**
    * К моменту погашения золото может подешеветь, и инвестор не сможет выждать более благоприятный момент для продажи.
    * Это сложный инструмент: для покупки обычно требуется пройти тестирование или получить статус квалифицированного инвестора.
    * Существует риск банкротства компании-эмитента или брокера.","doc_043,doc_283","Фрагмент (score: 0.91):
естиции не имеют государственной страховки. Если добывающее предприятие обанкротится, инвесторам вряд ли удастся вернуть вложенные в ее бумаги деньги.

Некоторые компании предлагают инвесторам особые структурные облигации: их номинал и купоны привязаны к цене драгоценного металла.

Например, номинал бумаг соответствует 1 грамму золота. Это значит, что компания размещает их по цене грамма золота на день продажи, а погашает — по цене на день выкупа. Для расчетов использ"
90,Почему инвестиции в себя считаются выгодными?,В контексте нет информации.,"doc_171,doc_043,doc_177","Фрагмент (score: 0.87):
 на фондовом рынке. Такой брокерский счет позволит покупать паи инвестиционных фондов, акции или облигации. Иногда банки выступают агентами управляющих компаний паевых инвестиционных фондов и предлагают приобрести паи напрямую, без выхода на биржу.

Вложения в ценные бумаги действительно нередко приносят большую прибыль, чем депозиты. Но ни гарантий доходности, ни государственной страховки у инвестиций нет. А чем выше потенциальная выгода, тем больше вероятность все пот"
91,Чем отличается остановка операции от блокировки счета по 115‑ФЗ?,"Согласно контексту, отличие заключается в следующем:

**Остановка операции** — это мера, при которой банк отказывается проводить конкретный подозрительный платеж, но счет продолжает работать для других операций.

**Блокировка счета** — это крайняя мера, при которой клиент **полностью теряет доступ к своим деньгам** на счете. Банки применяют её, когда подозревают компанию в отмывании доходов или финансировании терроризма.

Контекст также упоминает промежуточную ситуацию — **ограничение дистанционного обслуживания (ДБО)**, когда счет не заблокирован, но проводить операции через личный кабинет или приложение нельзя.","doc_025,doc_275","Фрагмент (score: 0.91):
Бывает, что банк отказывается проводить платеж или вообще блокирует клиенту доступ к счету. А свои действия объясняет требованиями закона № 115-ФЗ. Рассказываем, в каких случаях применяется этот закон, чем он грозит бизнесу и как предпринимателю реабилитировать себя. ## Что такое 115-ФЗ и почему из-за него блокируются счета?

По закону № 115-ФЗ все банки должны препятствовать отмыванию доходов и финансированию терроризма. Поэтому, когда у банка появляются подозрения, чт"
92,"Почему за наличную валюту стоит идти в банк, а не к брокеру?","Согласно контексту, за наличной валютой стоит идти в банк, потому что брокер не выдаст вам наличные. В контексте указано, что купить безналичную иностранную валюту через брокера можно, но доступен только безналичный расчет, а обналичить эти деньги нельзя.","doc_041,doc_208,doc_243","Фрагмент (score: 0.89):
ете потерять часть денег — закон о рынке ценных бумаг не гарантирует возврата средств, которые выведены с клиентского счета на счет брокера.

Поэтому главная рекомендация — **не держите долго деньги на брокерском счете**.

Вкладывайте их в ценные бумаги или выводите на свой банковский счет. Во-первых, банк будет начислять вам проценты. А во-вторых, деньги на банковских счетах и вкладах физических лиц и индивидуальных предпринимателей застрахованы государством. В случа"
93,Как отличаются кредитные каникулы для мобилизованных ИП от каникул для МСП из санкционных отраслей?,"В контексте нет информации о кредитных каникулах для МСП из санкционных отраслей. В предоставленных фрагментах описываются условия для мобилизованных ИП и владельцев малого и среднего бизнеса, призванных по мобилизации, но сравнения с отраслевыми санкционными мерами не приводится.","doc_035,doc_033","Фрагмент (score: 0.91):
 военной службы плюс 30 дней. Если после демобилизации предприниматель был госпитализирован, то и на весь срок стационарного лечения. Подробнее о том, как оформить льготный период по кредитам ИП, читайте в тексте «Как мобилизованным получить кредитные каникулы».

Условия кредитных каникул для представителей малого и среднего бизнеса, чей единственный учредитель и руководитель призван по мобилизации, несколько отличаются. Например, льготный период будет длиться 90 дней п"
94,Почему при возврате денег за страховку сумма бывает меньше из‑за комиссий посредников?,"В контексте нет информации о том, что сумма возврата за страховку бывает меньше из-за комиссий посредников.

Контекст объясняет уменьшение суммы возврата по другим причинам:
1. Возврат пропорционален неиспользованному сроку действия полиса.
2. При наличии коэффициента сезонности расчет ведется только за неиспользованные дни оплаченного периода.
3. Страховщик удерживает 23% от суммы возврата на покрытие своих расходов.

О комиссиях посредников в контексте говорится только в связи со скидками при покупке полиса или их вознаграждением, но не в связи с процедурой возврата денег.","doc_194,doc_278,doc_126","Фрагмент (score: 0.89):
за счет чего снижается цена.

Возможно, посредник готов сделать дисконт за счет части своего вознаграждения. Стоит учитывать, что скидка не может быть больше комиссии, которую страховая компания выплачивает агенту или брокеру. Размер комиссии можно узнать из договора между страховщиком и посредником.

Но довольно часто вместо обещанной скидки посредники просто предлагают более дешевые полисы, которые покрывают меньше рисков, чем вы думаете. Например, вы хотите застрах"
95,Чем отличаются гранты от льготных кредитов по обязательствам по возврату средств?,"Согласно контексту, гранты и льготные кредиты отличаются по обязательствам по возврату средств следующим образом:

1. **Льготные кредиты** — это займы, которые необходимо возвращать на определённых (льготных) условиях. Они выдаются на конкретные цели (например, инвестиции в бизнес или пополнение оборотных средств), и по ним предполагается возврат средств.

2. **Гранты** — средства, которые можно **не возвращать**. В контексте указано, что если предприниматель передумает воплощать идею, он вправе просто вернуть сумму гранта, что подразумевает добровольный возврат, а не обязательный. Кроме того, в случае форс-мажора (например, мобилизации) обязательства по гранту можно отложить или скорректировать без штрафов.

Таким образом, ключевое отличие: льготные кредиты требуют возврата средств, а гранты — нет (или возврат является правом, а не строгой обязанностью).","doc_061,doc_093,doc_035","Фрагмент (score: 0.87):
 кредит.

Кредиты и займы с залогом или поручительством называются **обеспеченными**. Ставки по ним обычно ниже, чем по необеспеченным.

## По какому графику возвращать долг?

Займы на пару недель или месяцев обычно гасят одной суммой в конце срока договора. Более долгие кредиты и займы, как правило, предполагают ежемесячные платежи. Они бывают двух видов:

1. **Дифференцированные платежи.**Сумма, которая вам нужна в кредит, – это основной долг. Она делится на рав"
96,Чем факторинг отличается от банковского кредита по обеспечению?,"Согласно контексту, факторинг отличается от банковского кредита по обеспечению тем, что для факторинга **не нужно оставлять залог**. Вместо залога обеспечением становится дебиторская задолженность компании, то есть её будущая выручка от покупателей.",doc_314,"Фрагмент (score: 0.88):
с отсрочкой платежа, не боясь кассовых разрывов: выручка будет приходить в день отгрузки, и эти деньги сразу можно пускать в дело.

### Не нужно оставлять залог

В отличие от кредита в факторинге не нужно оставлять залог, чтобы получить деньги. Залогом становится ваша дебиторская задолженность, то есть будущая выручка.

### С факторингом можно масштабировать оборот

Вы можете увеличить поставки в высокий сезон или выходить на новые рынки. В отличие от кредита при "
97,"Какую роль играет Агентство по страхованию вкладов в защите вкладчиков банков, а также клиентов страховщиков?","На основании предоставленного контекста можно ответить только о роли Агентства по страхованию вкладов (АСВ) в защите вкладчиков банков. Информации о клиентах страховщиков в контексте нет.

**Роль АСВ в защите вкладчиков банков:**

1.  **Выплачивает страховое возмещение вкладчикам** при наступлении страхового случая (отзыв лицензии у банка или введение моратория).
2.  **Ведет реестр банков — участников** системы страхования вкладов (ССВ).
3.  **Следит за формированием и управляет средствами** Фонда обязательного страхования вкладов (ФОСВ).

АСВ осуществляет эту деятельность под контролем Правительства и Банка России.

**О защите клиентов страховщиков:** В контексте нет информации.","doc_286,doc_065","Фрагмент (score: 0.87):
но на сайте Банка России.

Если вдруг средств фонда окажется недостаточно для всех выплат, их пополнят за счет средств федерального бюджета или кредитов Банка России. Это гарантирует финансовую устойчивость ССВ.

Работу ССВ ведет Агентство по страхованию вкладов (АСВ). Агентство действует под контролем Правительства и Банка России, представители которых входят в его органы управления.

АСВ выплачивает возмещение вкладчикам, ведет реестр банков — участников ССВ, след"
98,Как налогообложение дохода сотрудников на УСН соотносится с пределом удержаний при взыскании долгов?,В контексте нет информации.,"doc_261,doc_284","Фрагмент (score: 0.87):
ика есть иждивенцы, то на каждого из них тоже оставят такую сумму.

Во-вторых, в законе «Об исполнительном производстве», который определяет порядок взыскания долгов, предусмотрены «неприкосновенные» выплаты, забрать которые нельзя. Например, от последней перечисленной на счет зарплаты, пенсии или другой выплаты могут отнять не более 50% (в редких случаях, связанных с уголовной ответственностью, — 70%) суммы.

По закону суд не имеет права взыскать деньги, которые долж"
99,Защищены ли деньги на счете эскроу при покупке строящегося жилья?,"Да, деньги на счете эскроу при покупке строящегося жилья защищены. Согласно контексту, в случае, если банк, в котором открыт такой счет, потеряет лицензию, Государственное Агентство по страхованию вкладов (АСВ) переведет до 10 млн рублей на счет эскроу в другом банке.","doc_065,doc_232,doc_331","Фрагмент (score: 0.91):
еленный период. В сделках купли-продажи готового жилья защита начинается с даты, когда документы для регистрации права на недвижимость поступили в Росреестр. И заканчивается через три дня после того, как ведомство внесет изменения в Единый государственный реестр прав на недвижимое имущество (ЕГРН) или откажет в регистрации.  
  В случае с долевым строительством повышенная защита включается, как только вы внесли деньги на счет эскроу. И перестает действовать, когда застро"
